!!SBtab Document='AKAP79' Version='1.0' TableName='EX43__500nM_FALSE__FALSE' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0501T001	-15	108.5301	0.01
E0501T002	-10	111.0569	0.01
E0501T003	 -5	113.4840	0.01
E0501T004	  0	115.8151	0.01
E0501T005	  5	118.0542	0.01
E0501T006	 10	120.2051	0.01
E0501T007	 15	122.2717	0.01
E0501T008	 20	124.2567	0.01
E0501T009	 25	126.1657	0.01
E0501T010	 30	128.0017	0.01
E0501T011	 35	129.7679	0.01
E0501T012	 40	131.4708	0.01
E0501T013	 45	133.1152	0.01
E0501T014	 50	134.7098	0.01
E0501T015	 55	136.2647	0.01
E0501T016	 60	137.7835	0.01
E0501T017	 65	139.2572	0.01
E0501T018	 70	140.6740	0.01
E0501T019	 75	142.0298	0.01
E0501T020	 80	143.3274	0.01
E0501T021	 85	144.5683	0.01
E0501T022	 90	145.7547	0.01
E0501T023	 95	146.8893	0.01
E0501T024	100	147.9741	0.01
E0501T025	105	149.0119	0.01
E0501T026	110	150.0044	0.01
E0501T027	115	150.9535	0.01
E0501T028	120	151.8610	0.01
E0501T029	125	152.7288	0.01
E0501T030	130	153.5586	0.01
E0501T031	135	154.3517	0.01
E0501T032	140	155.1099	0.01
E0501T033	145	155.8349	0.01
E0501T034	150	156.5281	0.01
E0501T035	155	157.1910	0.01
E0501T036	160	157.8248	0.01
E0501T037	165	158.4310	0.01
E0501T038	170	159.0106	0.01
E0501T039	175	159.5648	0.01
E0501T040	180	160.0947	0.01
E0501T041	185	160.6015	0.01
E0501T042	190	161.0861	0.01
E0501T043	195	161.5494	0.01
E0501T044	200	161.9925	0.01
E0501T045	205	162.4162	0.01
E0501T046	210	162.8213	0.01
E0501T047	215	163.2087	0.01
E0501T048	220	163.5791	0.01
E0501T049	225	163.9333	0.01
E0501T050	230	164.2720	0.01
E0501T051	235	164.5959	0.01
E0501T052	240	164.9056	0.01
E0501T053	245	165.2017	0.01
E0501T054	250	165.4849	0.01
E0501T055	255	165.7557	0.01
E0501T056	260	166.0146	0.01
E0501T057	265	166.2622	0.01
E0501T058	270	166.4989	0.01
E0501T059	275	166.7253	0.01
E0501T060	280	166.9418	0.01
E0501T061	285	167.1488	0.01
E0501T062	290	167.3467	0.01
E0501T063	295	167.5360	0.01
E0501T064	300	167.7170	0.01
E0501T065	305	167.8900	0.01
E0501T066	310	168.0555	0.01
E0501T067	315	168.2138	0.01
E0501T068	320	168.3651	0.01
E0501T069	325	168.5098	0.01
E0501T070	330	168.6481	0.01
E0501T071	335	168.7804	0.01
E0501T072	340	168.9069	0.01
E0501T073	345	169.0279	0.01
E0501T074	350	169.1436	0.01
E0501T075	355	169.2542	0.01
E0501T076	360	169.3599	0.01
E0501T077	365	169.4611	0.01
E0501T078	370	169.5578	0.01
E0501T079	375	169.6502	0.01
E0501T080	380	169.7387	0.01
E0501T081	385	169.8232	0.01
E0501T082	390	169.9041	0.01
E0501T083	395	169.9814	0.01
E0501T084	400	170.0553	0.01
E0501T085	405	170.1260	0.01
E0501T086	410	170.1936	0.01
E0501T087	415	170.2582	0.01
E0501T088	420	170.3200	0.01
E0501T089	425	170.3791	0.01
E0501T090	430	170.4356	0.01
E0501T091	435	170.4897	0.01
E0501T092	440	170.5414	0.01
E0501T093	445	170.5908	0.01
E0501T094	450	170.6380	0.01
E0501T095	455	170.6832	0.01
E0501T096	460	170.7264	0.01
E0501T097	465	170.7677	0.01
E0501T098	470	170.8072	0.01
E0501T099	475	170.8450	0.01
E0501T100	480	170.8811	0.01
E0501T101	485	170.9156	0.01
E0501T102	490	170.9487	0.01
E0501T103	495	170.9802	0.01
E0501T104	500	171.0104	0.01
E0501T105	505	171.0393	0.01
E0501T106	510	171.0669	0.01
E0501T107	515	171.0933	0.01
E0501T108	520	171.1186	0.01
E0501T109	525	171.1427	0.01
E0501T110	530	171.1658	0.01
E0501T111	535	171.1879	0.01
E0501T112	540	171.2090	0.01
E0501T113	545	171.2292	0.01
E0501T114	550	171.2485	0.01
E0501T115	555	171.2669	0.01
E0501T116	560	171.2846	0.01
E0501T117	565	171.3014	0.01
E0501T118	570	171.3176	0.01
E0501T119	575	171.3330	0.01
E0501T120	580	171.3478	0.01
E0501T121	585	171.3619	0.01
E0501T122	590	171.3754	0.01
E0501T123	595	171.3883	0.01
E0501T124	600	171.4006	0.01
E0501T125	605	171.4124	0.01
