!!SBtab Document='AKAP79' Version='1.0' TableName='EX42__500nM__TRUE__FALSE' TableType='QuantityMatrix'
!TimePoint	!Time	>AKAR4pOUT	~AKAR4pOUT
E0502T001	-15	108.4467	0.01
E0502T002	-10	110.9518	0.01
E0502T003	 -5	113.3601	0.01
E0502T004	  0	115.6751	0.01
E0502T005	  5	117.9002	0.01
E0502T006	 10	120.0387	0.01
E0502T007	 15	122.0938	0.01
E0502T008	 20	124.0681	0.01
E0502T009	 25	125.9649	0.01
E0502T010	 30	127.7878	0.01
E0502T011	 35	129.5385	0.01
E0502T012	 40	131.2208	0.01
E0502T013	 45	132.8361	0.01
E0502T014	 50	134.3884	0.01
E0502T015	 55	135.8793	0.01
E0502T016	 60	137.3111	0.01
E0502T017	 65	138.6862	0.01
E0502T018	 70	140.0068	0.01
E0502T019	 75	141.2748	0.01
E0502T020	 80	142.4924	0.01
E0502T021	 85	143.6616	0.01
E0502T022	 90	144.7840	0.01
E0502T023	 95	145.8616	0.01
E0502T024	100	146.8963	0.01
E0502T025	105	147.8896	0.01
E0502T026	110	148.8433	0.01
E0502T027	115	149.7589	0.01
E0502T028	120	150.6378	0.01
E0502T029	125	151.4816	0.01
E0502T030	130	152.2916	0.01
E0502T031	135	153.0692	0.01
E0502T032	140	153.8157	0.01
E0502T033	145	154.5322	0.01
E0502T034	150	155.2201	0.01
E0502T035	155	155.8803	0.01
E0502T036	160	156.5141	0.01
E0502T037	165	157.1225	0.01
E0502T038	170	157.7065	0.01
E0502T039	175	158.2670	0.01
E0502T040	180	158.8051	0.01
E0502T041	185	159.3216	0.01
E0502T042	190	159.8174	0.01
E0502T043	195	160.2932	0.01
E0502T044	200	160.7500	0.01
E0502T045	205	161.1884	0.01
E0502T046	210	161.6093	0.01
E0502T047	215	162.0132	0.01
E0502T048	220	162.4009	0.01
E0502T049	225	162.7731	0.01
E0502T050	230	163.1303	0.01
E0502T051	235	163.4732	0.01
E0502T052	240	163.8023	0.01
E0502T053	245	164.1182	0.01
E0502T054	250	164.4215	0.01
E0502T055	255	164.7125	0.01
E0502T056	260	164.9919	0.01
E0502T057	265	165.2600	0.01
E0502T058	270	165.5174	0.01
E0502T059	275	165.7645	0.01
E0502T060	280	166.0016	0.01
E0502T061	285	166.2292	0.01
E0502T062	290	166.4477	0.01
E0502T063	295	166.6574	0.01
E0502T064	300	166.8586	0.01
E0502T065	305	167.0518	0.01
E0502T066	310	167.2373	0.01
E0502T067	315	167.4153	0.01
E0502T068	320	167.5862	0.01
E0502T069	325	167.7502	0.01
E0502T070	330	167.9077	0.01
E0502T071	335	168.0589	0.01
E0502T072	340	168.2039	0.01
E0502T073	345	168.3431	0.01
E0502T074	350	168.4767	0.01
E0502T075	355	168.6049	0.01
E0502T076	360	168.7280	0.01
E0502T077	365	168.8461	0.01
E0502T078	370	168.9595	0.01
E0502T079	375	169.0683	0.01
E0502T080	380	169.1728	0.01
E0502T081	385	169.2731	0.01
E0502T082	390	169.3693	0.01
E0502T083	395	169.4617	0.01
E0502T084	400	169.5504	0.01
E0502T085	405	169.6355	0.01
E0502T086	410	169.7172	0.01
E0502T087	415	169.7956	0.01
E0502T088	420	169.8709	0.01
E0502T089	425	169.9431	0.01
E0502T090	430	170.0125	0.01
E0502T091	435	170.0790	0.01
E0502T092	440	170.1429	0.01
E0502T093	445	170.2042	0.01
E0502T094	450	170.2631	0.01
E0502T095	455	170.3196	0.01
E0502T096	460	170.3738	0.01
E0502T097	465	170.4258	0.01
E0502T098	470	170.4758	0.01
E0502T099	475	170.5238	0.01
E0502T100	480	170.5698	0.01
E0502T101	485	170.6140	0.01
E0502T102	490	170.6564	0.01
E0502T103	495	170.6971	0.01
E0502T104	500	170.7361	0.01
E0502T105	505	170.7736	0.01
E0502T106	510	170.8096	0.01
E0502T107	515	170.8442	0.01
E0502T108	520	170.8773	0.01
E0502T109	525	170.9092	0.01
E0502T110	530	170.9397	0.01
E0502T111	535	170.9690	0.01
E0502T112	540	170.9972	0.01
E0502T113	545	171.0242	0.01
E0502T114	550	171.0501	0.01
E0502T115	555	171.0750	0.01
E0502T116	560	171.0989	0.01
E0502T117	565	171.1219	0.01
E0502T118	570	171.1439	0.01
E0502T119	575	171.1650	0.01
E0502T120	580	171.1853	0.01
E0502T121	585	171.2047	0.01
E0502T122	590	171.2234	0.01
E0502T123	595	171.2413	0.01
E0502T124	600	171.2586	0.01
E0502T125	605	171.2751	0.01
